prediction,reference
"This is embedded sarcasm because Chandler's statement about continuing to smoke contradicts the concern shown by Phoebe and Monica, indicating he isn't genuinely troubled.","This is embedded sarcasm, because Chandler's admission contradicts the expectation of quitting smoking, emphasized by his cheek raise and dimple, indicating insincerity."
"This is embedded sarcasm, because the ""glaring story problem"" contradicts the positive description of the movie as ""very entertaining.""","This is embedded sarcasm, because Amy's ""very entertaining"" contradicts her critique of a ""glaring story problem,"" implying it wasn't truly enjoyable."
"This is embedded sarcasm, because Amy's enjoyment contradicts the literal interpretation of Sheldon's phrase ""losing your virginity,"" implying she didn't actually lose her virginity watching the movie.","This is embedded sarcasm because ""losing my virginity"" contrasts with watching a movie, highlighting an unexpected and humorous interpretation."
"This is embedded sarcasm because ""failure as a leader is a virtual certainty"" contradicts the idea of Dinesh being a good CEO, highlighting his incompetence.","This is embedded sarcasm, because ""tolerating your short reign as CEO"" contradicts the context of Dinesh's request, implying incompetence rather than leadership potential."
"This is embedded sarcasm, because Howard's suggestion of ""Crash"" as an astronaut name implies it's a bad idea, contrasting with the positive tone of ""terrific.""","This is embedded sarcasm, because ""terrific"" contradicts the negative implication of astronauts being uneasy with someone named ""Crash."""
"This is embedded sarcasm because Gilfoyle's response humorously contrasts the literal interpretation of ""Chief Technology Officer"" with the stereotype of an Indian chief, highlighting the absurdity of the title.","This is embedded sarcasm because Gilfoyle uses ""Indian Chief"" to mock Dinesh's misunderstanding, contrasting ""chief"" with Dinesh's ethnicity, implying absurdity."
"This is embedded sarcasm, because referring to borders as ""merely a construct"" contradicts the idea of them being significant boundaries between nations.","This is embedded sarcasm because Gilfoyle dismisses national borders while acknowledging his Canadian citizenship, contradicting the context of identifying nationality."
"This is propositional sarcasm because Penny's exaggerated enthusiasm implies disbelief in Raj's suggestion, mocking the idea of finding clues in a beer.","This is propositional sarcasm because Penny suggests checking the fridge for clues in a beer, implying disbelief in finding anything meaningful there."
"This is propositional sarcasm because Chandler implies disbelief, suggesting the extra money is an obvious prank rather than a genuine windfall.","This is propositional sarcasm because Chandler implies the opposite, suggesting the bank error is evil, while his expression and tone indicate he finds it amusing."
"This is propositional sarcasm because Raj implies the opposite, suggesting the dentist didn't literally use a forklift, highlighting the absurdity of the situation.","This is propositional sarcasm because Raj implies Howard's mom is very large, contradicting the concern for her emotional state with an exaggerated, mocking image."
This is propositional sarcasm because Leonard implies Sheldon's claim of handling scary things is as ridiculous as his previous statement about the butterfly pavilion.,"This is propositional sarcasm because Leonard implies Sheldon can't handle scary situations, contrasting Sheldon's claim of being an adult who can handle it."
"This is propositional sarcasm because Sheldon's exaggerated tone and facial expressions suggest the opposite of his words, indicating things are not actually going well for him.","This is propositional sarcasm because Sheldon implies dissatisfaction with the mundane day, opposite to the literal positive phrasing of ""things are really breaking my way today."""
"This is propositional sarcasm because Gilfoyle implies Dinesh's skills are childish, contrasting his claim of being great at complex tasks like computer building.","This is propositional sarcasm because Gilfoyle implies Dinesh's skills are childish, opposite to praising his computer-building efforts."
"This is propositional sarcasm because Chandler implies Ross doesn't know who Dee is, mocking his lack of awareness about her character.","This is propositional sarcasm because Chandler's reference to ""Dee"" is a humorous exaggeration, implying Ross's obliviousness to the obvious situation."
"This is propositional sarcasm because Chandler's question implies Phoebe knows absurd facts, but she doesn't actually know the boiling point of brain tissue.","This is propositional sarcasm because Chandler implies Phoebe's knowledge is bizarre, not genuinely asking about the brain's boiling point, which is absurd."
"This is propositional sarcasm because Gilfoyle's question implies honesty, but his tone and facial cues suggest he won't actually be nice.","This is propositional sarcasm because Gilfoyle implies honesty and niceness are mutually exclusive, suggesting he can't genuinely say nice things about Jared."
"This is propositional sarcasm because Leonard implies Penny's hug was inappropriate, contrasting the expected reaction to someone choking.","This is propositional sarcasm because Leonard implies the hug was insincere, contrasting Penny's positive interpretation of the gesture."
"This is propositional sarcasm because Howard's exaggerated claim about the location implies disbelief in the actual answer, mocking the absurdity of the situation.","This is propositional sarcasm, because Howard's literal suggestion of a highway in Bakersfield contrasts with the obvious location of the Mars Rover on Mars."
"This is propositional sarcasm because Chandler's statement implies disbelief, contrasting Phoebe's idea of a coincidence.","This is propositional sarcasm because Chandler's line humorously implies the opposite of a meaningful insight, mocking Phoebe's observation with a nonsensical wordplay."
"This is propositional sarcasm because Rachel's suggestion implies disbelief in Ross's claim, indicating she doesn't genuinely want him to shut her up.","This is propositional sarcasm because Rachel's request for instructions contradicts her disinterest, shown by cheek raise and lip press, implying she doesn't actually want to be shut up."
"This is propositional sarcasm because Leonard implies Raj's desire for a labradoodle is his ""problem,"" suggesting it's absurd or inappropriate.","This is propositional sarcasm because Leonard implies Raj's problem is obvious, contradicting the literal suggestion of progress in understanding it."
"This is propositional sarcasm because Stuart implies the opposite, suggesting he should be living alone, yet he's still sharing a room, highlighting the absurdity of their situation.","This is propositional sarcasm because Stuart implies he is not living independently, contrasting his expectation with reality, highlighting the absurdity of the situation."
"This is propositional sarcasm because Penny's statement implies she doesn't actually know how to do dishes, contradicting Leonard's praise.","This is propositional sarcasm because Penny's claim of knowing how to do dishes opposes Leonard's sarcastic pride, implying she often neglects them."
"This is propositional sarcasm because Penny's question implies disbelief in Raj's quick engagement, suggesting he's not genuinely pregnant.","This is propositional sarcasm because Penny's question implies the absurdity of Raj being pregnant, highlighting the ridiculousness of his quick engagement."
"This is propositional sarcasm because Sheldon implies the conversation is pointless, suggesting he's wasting time on something trivial.","This is propositional sarcasm because Sheldon implies the conversation is pointless, contrasting his engagement in it, indicating it's not truly pointless to him."
"This is propositional sarcasm because Chandler's exaggerated tone and facial expressions suggest he actually cares about Joey's appearance, contrary to his literal statement.","This is propositional sarcasm because Chandler's response implies indifference, contrasting the expectation of a supportive or interested reply to Joey's question."
"This is propositional sarcasm because Leonard implies he knows what Penny could do with the money, contradicting his earlier claim of ignorance.","This is propositional sarcasm because Leonard implies he doesn't trust Penny, opposite of the trust typically associated with sharing financial information."
"This is propositional sarcasm because the speaker implies disbelief or mockery, suggesting the obviousness of pressing 'X' on a labeled button.","This is propositional sarcasm because the speaker implies Bernadette should know the alphabet, mocking her confusion over identifying the X button."
"This is propositional sarcasm because Chandler's exaggerated denial implies the opposite, suggesting he's not surprised at all.","This is propositional sarcasm because Chandler's statement about the ""actual cartoon character"" is clearly opposite to the obvious reality of the balloon escape."
"This is propositional sarcasm because Leonard's suggestion implies an absurd method for acquiring a book, highlighting Sheldon's impracticality.","This is propositional sarcasm because Leonard suggests an absurd action, implying the opposite: that Sheldon's plan is unrealistic or unnecessary."
"This is propositional sarcasm because Howard implies Leonard's search is excessive, suggesting it's unnecessary to go to every Party City, akin to overreacting on a minor holiday.","This is propositional sarcasm because Howard implies Leonard enjoys visiting many locations, which is unlikely and opposite to the inconvenience Leonard expressed."
"This is propositional sarcasm because Penny implies they should keep champagne for celebrations, contrasting Sheldon's excitement about a turtle.","This is propositional sarcasm because Penny's suggestion of champagne implies a celebration, contrasting with the trivial news of getting a turtle."
"This is propositional sarcasm because Chandler's claim of being a ""quite the woodsman"" contradicts the absurdity of his supposed expertise in dealing with trapped birds.","This is propositional sarcasm because Chandler's claim of being ""quite the woodsman"" humorously contradicts his urban character and lack of wilderness skills."
"This is propositional sarcasm because Gilfoyle implies they failed the Turing test, contrasting Richard's claim of passing it.","This is propositional sarcasm because Gilfoyle implies the AI is convincingly human, yet the context suggests it's not truly comparable to a real human."
"This is propositional sarcasm because Leonard implies disinterest in Sheldon's Nobel Prize ceremony, suggesting he doesn't care about what scientists wear.","This is propositional sarcasm because Leonard implies disinterest in scientists' attire, contrasting Sheldon's genuine interest in the Nobel Prize ceremony."
"This is propositional sarcasm because Dinesh implies ""Placeholder"" is superior to ""Pied Piper,"" which contradicts the literal meaning of his statement.","This is propositional sarcasm because Dinesh suggests ""Placeholder"" is better than ""Pied Piper,"" implying the opposite: both names are equally inadequate."
"This is propositional sarcasm because Howard implies Jewish mothers are laid-back, contrasting the typical stereotype of overbearing Jewish mothers.","This is propositional sarcasm because Howard implies Jewish mothers are casual, but the opposite is true, highlighting the absurdity through exaggerated contrast."
"This is propositional sarcasm because Leonard implies the absurdity of using Sheldon for target practice, contrasting the serious intent of Howard's question.","This is propositional sarcasm because Leonard suggests the military wants Sheldon for target practice, implying the opposite of valuing him for his intelligence."
This is propositional sarcasm because Chandler's exaggerated and crude suggestion implies the opposite of genuine interest or romance.,This is propositional sarcasm because Chandler's suggestion of dancing and making love humorously implies a more straightforward romantic interest.
This is propositional sarcasm because Gilfoyle's suggestion to use more product contradicts the implication that Dinesh already has too much.,This is propositional sarcasm because Gilfoyle's suggestion to use more product contradicts the obvious implication that Dinesh already uses too much.
