scene_id,key,final
1_2797,1_2797_u,"This is propositional sarcasm because Sheldon implies Penny should easily access his schedule, mocking Leonard's failure to share it, despite its triviality."
1_2819,1_2819_u,"This is illocutionary sarcasm because Sheldon's tone and facial expressions suggest disbelief, contrasting with the literal enthusiasm of wanting to visit a Goth nightclub."
1_2853,1_2853_u,"This is embedded sarcasm because Sheldon describes waitressing as ""a complex socio-economic activity,"" contradicting the simple nature of the job."
1_3064,1_3064_u,"This is propositional sarcasm because Sheldon humorously implies an impossible scenario, contrasting the literal expectation of stopping Cylon toast with a fictional, grandiose goal."
1_3125,1_3125_u,"This is embedded sarcasm because the phrase ""when you figure out how to build one"" contradicts Leonard's ability to find a girlfriend naturally."
1_3256,1_3256_u,"This is propositional sarcasm because the speaker implies the opposite, mocking the idea that such behavior is classy."
1_3259,1_3259_u,"This is propositional sarcasm because the speaker's initial statement about Princess Leia is clearly the opposite of their true meaning, emphasizing the obviousness of referring to Bernadette."
1_3287,1_3287_u,"This is propositional sarcasm because Sheldon's suggestion of an eating contest implies absurdity, opposing the practical solution of sharing food family style."
1_3419,1_3419_u,"This is propositional sarcasm because Penny implies Leonard's explanation was excessive, though she literally states it was sufficient, using cheek raise and dimple to convey irony."
1_3545,1_3545_u,"This is propositional sarcasm because Howard's statement humorously contradicts the serious historical context Sheldon presented, implying a preference for Chinese food over violent traditions."
1_3573,1_3573_u,"This is embedded sarcasm, because Penny's statement about alien overlords contradicts the realistic context of a simple conversation."
1_3660,1_3660_u,"This is propositional sarcasm because Penny implies Leonard's relationship is fragile, while literally suggesting a girlfriend could be found in a box."
1_3707,1_3707_u,"This is propositional sarcasm because Leonard's response implies the opposite of Sheldon's expectation, mocking Sheldon's self-importance with a seemingly sincere tone."
1_3766,1_3766_u,This is propositional sarcasm because Leonard's request for a relevant topic contrasts with his apparent interest in trivial discussions.
1_4031,1_4031_u,"This is propositional sarcasm because Sheldon implies Einstein's scientific aspirations were trivial, contrasting with the serious nature of his work."
1_4145,1_4145_u,"This is propositional sarcasm because Leonard implies widespread interest in predicting Sheldon's death, which is not a genuine research focus."
1_4743,1_4743_u,"This is propositional sarcasm because Howard implies the science dudes are uninterested in talking science with the speaker, mocking their scientific knowledge."
1_4760,1_4760_u,"This is propositional sarcasm, because Sheldon implies Archies are childish, contrasting with the expectation of them being in a more respectable place."
1_4789,1_4789_u,"This is propositional sarcasm because the speaker implies Leonard doesn't fit the expected image, yet pretends to agree he could be the one."
1_4967,1_4967_u,"This is propositional sarcasm because Leonard implies Raj's problem is obvious, contradicting the literal suggestion of progress in understanding it."
1_4995,1_4995_u,"This is propositional sarcasm because Sheldon implies disbelief in Penny's teaching ability, contrasting with the literal praise of learning from her."
1_5058,1_5058_u,"This is embedded sarcasm because the phrase ""entire dinner"" contradicts the implication that Leonard's research is not worth lengthy discussion."
1_5134,1_5134_u,"This is propositional sarcasm because Penny's description of her acting experience as ""real great"" contrasts with the disappointing reality of her audition."
1_5156,1_5156_u,"This is embedded sarcasm because ""fun"" contradicts the unpleasant image of Leonard kissing Sheldon's sister, suggesting discomfort rather than enjoyment."
1_5166,1_5166_u,"This is propositional sarcasm because Penny's statement contradicts the unpleasant situation, implying the opposite of a ""great time"" with a sarcastic tone."
1_5211,1_5211_u,"This is propositional sarcasm because Amy implies Bernadette's comment is overly sentimental, contrasting with her actual agreement about Leonard's uniqueness."
1_5496,1_5496_u,This is embedded sarcasm because Penny's comment about renting her womb contradicts the context of discussing Leonard's girlfriend and makeup.
1_5571,1_5571_u,"This is propositional sarcasm because Sheldon orders medical items instead of food, implying disgust rather than genuine interest in ordering a meal."
1_5572,1_5572_u,"This is propositional sarcasm because Sheldon exaggerates the importance of drinking from Leonard's glass as a life-ending event, which is clearly not serious."
1_5580,1_5580_u,"This is propositional sarcasm because Howard implies Jewish mothers are casual, but the opposite is true, highlighting the absurdity through exaggerated contrast."
1_5617,1_5617_u,"This is propositional sarcasm because Penny's gratitude is insincere, as Sheldon's explanation was obvious and unhelpful, indicated by her cheek raise and dimple."
1_5627,1_5627_u,"This is propositional sarcasm because Raj's statement implies the opposite, suggesting potential tension rather than positivity between Leonard's girlfriend and ex-girlfriend."
1_5679,1_5679_u,"This is embedded sarcasm because Sheldon's response contradicts his known discomfort with physical touch, making the idea of enjoying a massage inherently sarcastic."
1_5699,1_5699_u,"This is embedded sarcasm, because the phrase ""too cool to wear"" contradicts the context, implying Leonard's refusal was not due to being ""cool."""
1_5758,1_5758_u,"This is propositional sarcasm because Amy's comment implies Penny is suited for an undesirable role, contrasting with the intended compliment."
1_5880,1_5880_u,"This is propositional sarcasm because Amy implies Leonard is inappropriately touching her, while she knows he is simply putting on the corsage."
1_5964,1_5964_u,"This is propositional sarcasm because Howard implies Penny's whispering is ineffective, as Bernadette, who is not deaf, can obviously hear."
1_6020,1_6020_u,"This is propositional sarcasm because Sheldon implies Penny is off his enemy list, yet his tone and context suggest he still considers her an adversary."
1_6032,1_6032_u,"This is propositional sarcasm because Sheldon implies Howard is unaware of his own betrayal, contrasting his self-perception with the reality of his actions."
1_6065,1_6065_u,"This is embedded sarcasm, because the phrase ""advanced your group has become"" contradicts the outdated belief of falling off the edge of the Earth."
1_6134,1_6134_u,"This is propositional sarcasm because Sheldon implies Nobel Prizes are undeserved, contrasting the prestigious nature of the award with his dismissive tone."
1_6165,1_6165_u,"This is propositional sarcasm because Sheldon implies excitement about a mundane reaction, contrasting his true lack of enthusiasm, evident from his flat tone and facial expressions."
1_6188,1_6188_u,"This is propositional sarcasm because Penny's exaggerated surprise contradicts the obviousness of recognizing Leonard, her ex-boyfriend, implying she already knew."
1_6221,1_6221_u,"This is propositional sarcasm, because Bernadette's statement implies dissatisfaction with the dresses, opposite to the literal meaning of ""great,"" indicated by her facial cues and tone."
1_6355,1_6355_u,"This is embedded sarcasm, because ""a pretty magical night"" contradicts the negative context of ""said horrible things about each other in public."""
1_6370,1_6370_u,"This is embedded sarcasm, because the phrase ""very interesting"" contrasts with the bizarre and unsettling anecdote about Amy's past."
1_6426,1_6426_u,"This is embedded sarcasm because the absurdity of lodging a testicle contrasts with the context of holiday greetings, highlighting the sarcasm."
1_6427,1_6427_u,"This is embedded sarcasm because ""waiting for the ball to drop"" contrasts with the absurd scenario of testicle lodging, implying mockery of the situation."
1_6428,1_6428_u,"This is propositional sarcasm because Leonard implies disinterest in scientists' attire, contrasting Sheldon's genuine interest in the Nobel Prize ceremony."
1_6472,1_6472_u,"This is propositional sarcasm because Sheldon implies the opposite, suggesting the ""winner"" is incompetent at making cocoa, contradicting the expected competence of a winner."
1_6504,1_6504_u,"This is propositional sarcasm because Sheldon dismisses Amy's news as unimportant, despite acknowledging its significance, by belittling biology as ""yucky, squishy things."""
1_6648,1_6648_u,"This is propositional sarcasm because Leonard humorously downplays his abilities, implying he's not great, contrasting Penny's compliment about him being ""kind of really great."""
1_6683,1_6683_u,"This is embedded sarcasm, because ""terrific"" contradicts the negative implication of astronauts being uneasy with someone named ""Crash."""
1_6769,1_6769_u,"This is propositional sarcasm because Amy implies Sheldon might struggle, despite calling him a ""genius,"" contrasting her true belief in his potential difficulty."
1_7047,1_7047_u,"This is embedded sarcasm because Leonard suggests living inside his mother's body, an absurd and contradictory notion to living in her house."
1_7089,1_7089_u,"This is propositional sarcasm because Bernadette's tone and facial expressions suggest she found the night boring, opposite to her words."
1_7281,1_7281_u,"This is propositional sarcasm because Sheldon implies regret about Raj being busy, but he knows Raj is actually free and feeling lonely."
1_7357,1_7357_u,"This is propositional sarcasm because Leonard implies he already finds Sheldon annoying, opposite to his literal suggestion of just starting to understand."
1_7395,1_7395_u,"This is propositional sarcasm because Amy implies Penny's reasoning is absurd, suggesting she would easily be swayed by a dog's sad eyes."
1_7402,1_7402_u,"This is embedded sarcasm, because Leonard contrasts a childish phrase with the prestigious Nobel prize, highlighting the absurdity of Sheldon's self-importance."
1_7575,1_7575_u,"This is propositional sarcasm because Howard's statement suggests genuine interest, but context and exaggerated enthusiasm imply he's tired of hearing about the party."
1_7722,1_7722_u,"This is propositional sarcasm, because Sheldon implies the opposite by suggesting the person isn't trying to get better, despite their unchanged fever."
1_7953,1_7953_u,"This is propositional sarcasm because the suggestion to ""ask Scotty to beam you up"" mocks the unrealistic idea of teleportation to solve a real problem."
1_8045,1_8045_u,"This is propositional sarcasm because Raj implies Howard's mom is very large, contradicting the concern for her emotional state with an exaggerated, mocking image."
1_8052,1_8052_u,"This is illocutionary sarcasm because Penny's exaggerated tone and facial expressions contradict the literal meaning, implying the opposite of a harmonious relationship."
1_8136,1_8136_u,This is propositional sarcasm because the speaker's exaggerated enthusiasm contradicts the undesirable situation of being alone on Valentine's Day.
1_8407,1_8407_u,"This is embedded sarcasm, because the phrase ""what a wonderful idea"" contradicts Sheldon's dismissive attitude toward making up his own ending."
1_8452,1_8452_u,This is propositional sarcasm because the speaker's gratitude contrasts with the implied annoyance at the lengthy lecture on monster trucks.
1_8717,1_8717_u,"This is propositional sarcasm because Bernadette's statement implies the opposite; Penny likely finds Leonard's driving frustrating, not charming, given the context and tone."
1_8746,1_8746_u,"This is embedded sarcasm because ""losing my virginity"" contrasts with watching a movie, highlighting an unexpected and humorous interpretation."
1_8749,1_8749_u,"This is embedded sarcasm, because Amy's ""very entertaining"" contradicts her critique of a ""glaring story problem,"" implying it wasn't truly enjoyable."
1_8827,1_8827_u,"This is propositional sarcasm because Penny's exaggerated question implies the opposite, highlighting Sheldon's unromantic behavior as unappealing rather than enticing."
1_9087,1_9087_u,"This is propositional sarcasm, because Leonard's claim of being the favorite contrasts with the unfairness of receiving a sweater while his brother got a car."
1_9971,1_9971_u,"This is propositional sarcasm because Howard's suggestion of an insult being ""thoughtful"" is the opposite of what is genuinely considerate."
1_9972,1_9972_u,"This is propositional sarcasm because Penny suggests checking the fridge for clues in a beer, implying disbelief in finding anything meaningful there."
1_9993,1_9993_u,"This is propositional sarcasm, because Penny's statement implies disbelief in time travel, contrasting her literal words about the future being great."
1_10462,1_10462_u,"This is propositional sarcasm, because Howard's suggestion of ""exciting opportunities"" in home care contradicts the undesirable nature of such jobs, mocking Sheldon's threat to leave."
1_10495,1_10495_u,"This is illocutionary sarcasm because Amy's tone and cheek raise contradict the literal acceptance of living together, indicating reluctance or disbelief."
1_10496,1_10496_u,This is propositional sarcasm because Sheldon's exaggerated suggestions of engagement and starting a family contradict his actual reluctance to live with Amy.
1_10748,1_10748_u,"This is propositional sarcasm because Amy implies Penny has a better relationship with wine than Leonard, highlighting the absurdity of the situation."
1_10829,1_10829_u,"This is embedded sarcasm, because ""bright side"" contradicts the negative context of losing friends, highlighting the insincerity of the comment."
1_10890,1_10890_u,"This is propositional sarcasm because Raj implies Howard's relationship with Bernadette reduced his need for robots, suggesting the opposite of a positive impact."
1_11006,1_11006_u,"This is propositional sarcasm because Penny's statement implies the opposite, suggesting the visit is beneficial, while actually criticizing the dysfunctional relationship dynamics observed."
1_11021,1_11021_u,"This is propositional sarcasm because Penny's comment humorously implies one-celled organisms experience human-like embarrassment, which is obviously not possible."
1_11055,1_11055_u,"This is propositional sarcasm because Leonard implies Penny's actions were innocent, while actually suggesting she was misleadingly flirtatious, causing the misunderstanding."
1_11098,1_11098_u,"This is propositional sarcasm because Bernadette implies the dress is neglected, contrasting Penny's care in keeping it folded and preserved."
1_11177,1_11177_u,"This is embedded sarcasm because the phrase ""I'm wondering how I'll ever sleep without it"" contradicts the annoyance typically associated with snoring."
1_11224,1_11224_u,"This is embedded sarcasm because Howard's comment about chewing his leg off humorously contradicts the seriousness of being ""trapped"" in a conversation."
1_11232,1_11232_u,"This is propositional sarcasm because Bernadette's statement implies dissatisfaction with doing all the work, contrasting with her literal expression of love for it."
1_11242,1_11242_u,This is embedded sarcasm because Bernadette's praise contradicts her frustration about waiting for the bathroom.
1_11243,1_11243_u,"This is propositional sarcasm because Howard's statement implies the opposite, suggesting it's absurd to consider peeing in the kitchen sink as a viable option."
1_11322,1_11322_u,"This is propositional sarcasm because Penny's praise contradicts her actual opinion, implying Sheldon's comment was irrelevant rather than ""almost on topic."""
1_11439,1_11439_u,"This is propositional sarcasm, because Penny's suggestion opposes her actual belief, mocking Sheldon's clothing habits as impractical for women."
1_11697,1_11697_u,"This is illocutionary sarcasm because Penny's tone and facial expressions suggest mockery, not genuine encouragement, contradicting the literal challenge of opening the puzzle box."
1_11699,1_11699_u,"This is propositional sarcasm because Raj implies he helped, but his tone and facial cues suggest disbelief or mockery about Stuart's choice."
1_11773,1_11773_u,"This is propositional sarcasm because Penny's suggestion of champagne implies a celebration, contrasting with the trivial news of getting a turtle."
1_11885,1_11885_u,"This is propositional sarcasm because the speaker's facial cues and tone imply the opposite, mocking the idea that many menorahs create a pleasant atmosphere."
1_11901,1_11901_u,"This is propositional sarcasm because Sheldon's exaggerated praise and mock scenario imply Leonard's idea is trivial, contrasting with the literal compliment."
1_11913,1_11913_u,"This is propositional sarcasm because Howard implies excessive eating is a cultural trait, humorously exaggerating by referencing a historical event unrelated to overeating."
1_11924,1_11924_u,"This is propositional sarcasm because Howard implies Amy is old-fashioned or elderly, opposite to her actual age, highlighting her enthusiasm for garage sales."
1_12202,1_12202_u,"This is propositional sarcasm because Leonard implies he doesn't need to know the time, mocking the idea with a ""Force"" disturbance reference."
2_2,2_2_u,"This is embedded sarcasm because Chandler's statement contradicts the context of New Year's resolutions being positive, suggesting a morbid resolution instead."
2_3,2_3_u,"This is propositional sarcasm because Chandler's exaggerated list implies absurdity, suggesting he doesn't actually have ribbons or testicles in the drawer."
2_9,2_9_u,"This is illocutionary sarcasm because Dorothy's tone and exaggerated suggestion contrast with the literal meaning, indicating she doesn't actually want Rose to open a stand."
2_11,2_11_u,"This is illocutionary sarcasm because Dorothy's cheek raise and dimple suggest amusement, contrasting the absurdity of a cappuccino maker being under the sheets."
2_15,2_15_u,"This is embedded sarcasm because ""Stop catching on fire"" is an absurd suggestion, contradicting the serious context of needing to be careful without insurance."
2_24,2_24_u,"This is embedded sarcasm, because Chandler's mention of ""the fifth dentist"" humorously contradicts the excitement of Rachel's news with an unrelated, trivial joke."
2_31,2_31_u,"This is propositional sarcasm, because Rachel implies she dislikes Monica's excessive cleaning, but the literal meaning suggests admiration for her cleanliness."
2_34,2_34_u,"This is propositional sarcasm because Chandler implies the opposite, suggesting greetings are pleasant, while Joey's insult indicates they are not."
2_39,2_39_u,This is illocutionary sarcasm because Chandler's exaggerated enthusiasm in tone and facial expressions contradicts the absurdity of wanting to sign such a dangerous waiver.
2_43,2_43_u,"This is illocutionary sarcasm because Chandler's tone and context suggest disbelief or mockery about not needing a savings account, contrasting the literal statement."
2_45,2_45_u,"This is illocutionary sarcasm because Dorothy's flat tone and cheek raise contradict the absurdity of ""girl scout toilets,"" indicating disbelief rather than literal meaning."
2_50,2_50_u,"This is illocutionary sarcasm because Chandler's tone and facial cues suggest disbelief or mockery, opposing the literal rejection of the patch's effectiveness."
2_54,2_54_u,"This is embedded sarcasm because Rachel's statement contradicts the context, implying Monica's suggestion to forget is unrealistic given the severity of the situation."
2_66,2_66_u,"This is illocutionary sarcasm because Chandler's tone and facial expressions contradict the literal praise, indicating frustration rather than genuine admiration."
2_71,2_71_u,"This is illocutionary sarcasm because Joey's tone and facial cues suggest disbelief, contrasting the literal suggestion that rubbing one's head can reverse time."
2_73,2_73_u,"This is illocutionary sarcasm because Chandler's tone and facial expressions suggest exaggeration, indicating he wasn't genuinely startled by Joey's lack of response."
2_74,2_74_u,"This is propositional sarcasm because Dorothy suggests showing slides of Hawaii as a solution, which is an ineffective response to a potentially serious situation."
2_84,2_84_u,"This is propositional sarcasm because Chandler implies the opposite, suggesting the story is not inspiring enough to keep kids in school."
2_89,2_89_u,"This is propositional sarcasm because Dorothy implies the ring was found in an absurd place, contrasting the expected literal location."
2_92,2_92_u,"This is propositional sarcasm because Chandler's response implies the opposite of Joey's assumption, mocking the idea of needing a tailor for drawing."
2_97,2_97_u,"This is propositional sarcasm because Rachel's desire for a ""guarantee"" contradicts her earlier claim of being ""80% happy,"" implying she is not genuinely confident or happy."
2_102,2_102_u,"This is propositional sarcasm because Dorothy's statement contradicts the obvious reason for Rose's distress, implying it's not about something trivial like coke taste."
2_103,2_103_u,"This is illocutionary sarcasm because Chandler's exaggerated tone and facial cues contradict the literal meaning, indicating he's not actually playing a daredevil game."
2_104,2_104_u,"This is propositional sarcasm because Chandler implies the tanning place was excessively strong, suggesting Ross looks overly tanned, opposite of a normal tanning experience."
2_105,2_105_u,"This is propositional sarcasm because Chandler's joke implies Ross's excitement is about his own anatomy, not the monkey, contradicting the context of genuine excitement."
2_109,2_109_u,"This is propositional sarcasm because Chandler implies littering is beneficial, contrasting the actual negative view on littering, highlighted by his cheek raise and lip tighten."
2_112,2_112_u,"This is illocutionary sarcasm because Chandler's cheek raise and dimple, combined with exaggerated pitch variation, suggest mockery rather than genuine concern for Damone's solitude."
2_113,2_113_u,"This is propositional sarcasm because Chandler's statement about the ""actual cartoon character"" is clearly opposite to the obvious reality of the balloon escape."
2_114,2_114_u,"This is propositional sarcasm because Chandler's absurd statement about ""Spanish midgets wrestling Julie"" humorously contradicts Ross's genuine sentiment of missing Julie."
2_115,2_115_u,"This is illocutionary sarcasm because Chandler's tone and facial cues suggest mockery, contrasting the literal apology and seriousness of the statement."
2_120,2_120_u,"This is illocutionary sarcasm, because Chandler's tone and facial cues suggest amusement, contrasting with the literal claim of finding it ""regular."""
2_121,2_121_u,"This is propositional sarcasm because Dorothy's exaggerated question implies disbelief or mockery, contrasting with the literal suggestion of needing a feminine voice."
2_123,2_123_u,"This is illocutionary sarcasm because the exaggerated tone and facial expressions indicate disbelief, contrasting the literal agreement implied by ""Nooo!"""
2_124,2_124_u,"This is propositional sarcasm because Chandler implies confusion, yet the context shows he's been actively participating, indicating he knows exactly what's happening."
2_126,2_126_u,"This is illocutionary sarcasm because Dorothy's cheek raise and lip tighten contrast with the absurdity of her statement, indicating she's not genuinely upset about Joe Piscapo."
2_128,2_128_u,"This is propositional sarcasm because Chandler's question implies disbelief, contrasting Joey's simple task with an exaggerated, unrealistic outcome."
2_129,2_129_u,"This is illocutionary sarcasm because Dorothy's cheek raise and lip tighten suggest a mocking tone, opposing the literal meaning of her question about Blanche's nails."
2_135,2_135_u,This is illocutionary sarcasm because Dorothy's tone and facial expressions contradict the absurdity of the statement about Jimmy Swaager's motel bill.
2_140,2_140_u,"This is illocutionary sarcasm because the exaggerated tone and drawn-out ""Nooo"" indicate the opposite of the literal denial of being sarcastic."
2_141,2_141_u,"This is illocutionary sarcasm because Chandler's cheek raise and lip corner depress suggest a mocking tone, contrasting the literal interpretation of the monkey spelling."
2_144,2_144_u,"This is illocutionary sarcasm because Dorothy's lowered pitch and cheek raise suggest amusement, contrasting with the serious tone expected for providing a movie title."
2_148,2_148_u,"This is propositional sarcasm because Chandler's line humorously implies the opposite of a meaningful insight, mocking Phoebe's observation with a nonsensical wordplay."
2_151,2_151_u,"This is propositional sarcasm because Chandler implies staying is polite, but the context suggests he finds the situation absurd or unnecessary."
2_152,2_152_u,"This is propositional sarcasm because Ross implies Joey's bag is feminine, contrasting Joey's claim of practicality and masculinity, using humor to mock."
2_155,2_155_u,"This is illocutionary sarcasm because Chandler's exaggerated enthusiasm and cheek raise contradict the mundane task of doing laundry, signaling insincerity."
2_158,2_158_u,"This is illocutionary sarcasm because Dorothy's tone and facial cues suggest insincerity, contrasting with the literal meaning of hoping someone enjoys poorly cooked food."
2_161,2_161_u,"This is propositional sarcasm because Chandler implies the price is losing him, which is not a literal cost, contrasting Monica's request to see the actual price."
2_163,2_163_u,"This is propositional sarcasm, because Rachel's exaggerated fear contradicts the context of Joey's mundane acting scene, implying it's not actually scary."
2_168,2_168_u,"This is illocutionary sarcasm because Chandler's cheek raise and dimple, along with heightened pitch, suggest mock concern rather than genuine apology for waking Joey."
2_169,2_169_u,"This is illocutionary sarcasm because Chandler's cheek raise and lip press indicate humor, contrasting the serious implication of being seen as an idiot."
2_170,2_170_u,"This is illocutionary sarcasm because Chandler's tone and facial expressions suggest disbelief or mockery, contrasting the literal excitement of Phoebe's announcement."
2_172,2_172_u,"This is illocutionary sarcasm because Chandler's exaggerated tone and facial cues suggest he didn't genuinely enjoy it, despite saying ""The whole thing!"""
2_174,2_174_u,"This is propositional sarcasm because Chandler implies the opposite, suggesting the bank error is evil, while his expression and tone indicate he finds it amusing."
2_177,2_177_u,"This is illocutionary sarcasm because the offer to show an ID implies disbelief, contrasting the literal offer with a tone of incredulity."
2_178,2_178_u,"This is illocutionary sarcasm because Chandler's exaggerated tone and facial cues suggest he dislikes the dessert, despite his words implying enjoyment."
2_182,2_182_u,This is illocutionary sarcasm because Dorothy's exaggerated facial expressions and tone suggest disbelief and mockery rather than a literal statement about the weather.
2_183,2_183_u,"This is illocutionary sarcasm because Chandler's tone and facial expressions contradict the absurdity of having rabies, implying disbelief or mockery."
2_186,2_186_u,This is illocutionary sarcasm because Chandler's flat tone and lack of enthusiasm contrast with the exaggerated praise of Joey's hole.
2_187,2_187_u,"This is embedded sarcasm, because Chandler contrasts Joey's claim of being an ""actor slash model"" with ""man slash woman,"" implying the makeup makes him look feminine."
2_189,2_189_u,"This is illocutionary sarcasm because Chandler's exaggerated politeness and casual tone contrast with Monica's urgency, indicating he's not serious about the situation."
2_190,2_190_u,"This is propositional sarcasm because the moderator's exaggerated enthusiasm implies the opposite, suggesting disinterest in Scott's story."
2_197,2_197_u,"This is propositional sarcasm because Chandler's remark implies the opposite of Rachel's literal action, suggesting absurdity in taking someone to lunch instead of calling the cops."
2_204,2_204_u,"This is illocutionary sarcasm because Chandler's exaggerated tone and facial expressions indicate disbelief, contrasting his literal claim of being convinced."
2_206,2_206_u,"This is propositional sarcasm because Chandler's suggestion implies Monica doesn't fit in, opposite to the supportive advice she expected."
2_209,2_209_u,"This is illocutionary sarcasm because the exaggerated pitch and cheek raise contrast the literal agreement, indicating disbelief rather than genuine affirmation."
2_222,2_222_u,"This is illocutionary sarcasm because Dorothy's exaggerated and whimsical explanation contrasts with the serious tone, indicating disbelief in Rose's question."
2_223,2_223_u,This is propositional sarcasm because Chandler's suggestion of dancing and making love humorously implies a more straightforward romantic interest.
2_226,2_226_u,"This is illocutionary sarcasm because Chandler's tone and cheek raise suggest mockery, contrasting the literal concern about losing party guests to a spelling game."
2_227,2_227_u,"This is illocutionary sarcasm, because Chandler's cheek raise and lip press, combined with a high F0 variance, suggest disbelief in the person's ability."
2_236,2_236_u,"This is propositional sarcasm because Chandler implies Emma's age makes the exact birthday irrelevant, contradicting the importance Rachel places on the specific date."
2_241,2_241_u,"This is propositional sarcasm because Chandler pretends to have a coat hanger, then humorously reveals he doesn't, contradicting the expectation set by his initial statement."
